symbol,cur_price,date,time,trd_dt,purch_price,qty
AAPL,143.405,10/7/2021,15:49 EDT,20100608,44,4.2
ABML,1.48,10/7/2021,15:34 EDT,20210324,1.5,1220
ABML,1.48,10/7/2021,15:34 EDT,20210125,4.02,780
ABML,1.48,10/7/2021,15:34 EDT,20210125,3.6,1000
ABML,1.48,10/7/2021,15:34 EDT,20211007,1.49,1495
ADMP,1.0264,10/7/2021,15:47 EDT,20210125,1.64,233
ADMP,1.0264,10/7/2021,15:47 EDT,20210409,0.9,267
ASXC,1.79,10/7/2021,15:49 EDT,20200714,0.3,375
ASXC,1.79,10/7/2021,15:49 EDT,20171128,29.36,9.2308
ASXC,1.79,10/7/2021,15:49 EDT,20180206,18.63,16.3077
ASXC,1.79,10/7/2021,15:49 EDT,20190402,30.29,5.3846
ASXC,1.79,10/7/2021,15:49 EDT,20190517,17.78,30.7692
ASXC,1.79,10/7/2021,15:49 EDT,20190905,10.02,25.5385
ASXC,1.79,10/7/2021,15:49 EDT,20191003,6.48,61.7692
ATAO,0.059,10/7/2021,15:07 EDT,20210201,0.2,300
ATAO,0.059,10/7/2021,15:07 EDT,20210409,0.14,700
ATNF,5.65,10/7/2021,15:48 EDT,20210125,4,125
CTRM,2.348,10/7/2021,15:49 EDT,20210128,7.13,50
CTRM,2.348,10/7/2021,15:49 EDT,20210413,4.45,50
EXEL,21.45,10/7/2021,15:49 EDT,20141016,1.58,126
NAKD,0.6507,10/7/2021,15:49 EDT,20210128,2.32,17
OTIC,1.76,10/7/2021,15:48 EDT,20180418,4.14,50
OTIC,1.76,10/7/2021,15:48 EDT,20180305,5.74,50
PCG,10.545,10/7/2021,15:49 EDT,20171016,54.4,5
PCG,10.545,10/7/2021,15:49 EDT,20180206,40.75,5
PCG,10.545,10/7/2021,15:49 EDT,20190517,17.35,20
ZAIRF,0.1914,10/7/2021,13:28 EDT,20210125,0.193,758
ADA-USD,2.290238,10/7/2021,20:47 BST,20210616,1.5291,500
CRO-USD,0.18699837,10/7/2021,20:48 BST,20210713,0.12724,3144
CRO-USD,0.18699837,10/7/2021,20:48 BST,20210713,0.11616422,215.2125742
DOGE-USD,0.24274203,10/7/2021,20:48 BST,20210316,0.05,1720
MATIC-USD,1.2769542,10/7/2021,20:47 BST,20210626,1.08886,700
SHIB-USD,2.52E-05,10/7/2021,20:47 BST,20210615,8.96E-06,3.00E+07
SHIB-USD,2.52E-05,10/7/2021,20:47 BST,20210622,7.10E-06,2.00E+07
OXT-USD,0.3318101,10/7/2021,20:47 BST,20210615,0.3281,1523.93
VET-USD,0.11167747,10/7/2021,20:48 BST,20210617,0.1077,4750
VET-USD,0.11167747,10/7/2021,20:48 BST,20210623,0.07546,1250
XLM-USD,0.34844986,10/7/2021,20:48 BST,20210617,0.3152,2400
RVN-USD,0.11289811,10/7/2021,20:48 BST,20210617,0.07303,2000
ONE2-USD,0.17539868,10/7/2021,20:47 BST,20210616,0.08214,2000
DOT1-USD,34.3334,10/7/2021,20:48 BST,20210616,23.2793,45
DOT1-USD,34.3334,10/7/2021,20:48 BST,20210622,16.538,15