major,median_starting,median_mid,10p_mid,25p_mid,75p_mid,90p_mid
Accounting,46000.0,77100.0,42200.0,56100.0,108000.0,152000.0
Aerospace Engineering,57700.0,101000.0,64300.0,82100.0,127000.0,161000.0
Agriculture,42600.0,71900.0,36300.0,52100.0,96300.0,150000.0
Anthropology,36800.0,61500.0,33800.0,45500.0,89300.0,138000.0
Architecture,41600.0,76800.0,50600.0,62200.0,97000.0,136000.0
Art History,35800.0,64900.0,28800.0,42200.0,87400.0,125000.0
Biology,38800.0,64800.0,36900.0,47400.0,94500.0,135000.0
Business Management,43000.0,72100.0,38800.0,51500.0,102000.0,147000.0
Chemical Engineering,63200.0,107000.0,71900.0,87300.0,143000.0,194000.0
Chemistry,42600.0,79900.0,45300.0,60700.0,108000.0,148000.0
Civil Engineering,53900.0,90500.0,63400.0,75100.0,115000.0,148000.0
Communications,38100.0,70000.0,37500.0,49700.0,98800.0,143000.0
Computer Engineering,61400.0,105000.0,66100.0,84100.0,135000.0,162000.0
Computer Science,55900.0,95500.0,56000.0,74900.0,122000.0,154000.0
Construction,53700.0,88900.0,56300.0,68100.0,118000.0,171000.0
Criminal Justice,35000.0,56300.0,32200.0,41600.0,80700.0,107000.0
Drama,35900.0,56900.0,36700.0,41300.0,79100.0,153000.0
Economics,50100.0,98600.0,50600.0,70600.0,145000.0,210000.0
Education,34900.0,52000.0,29300.0,37900.0,73400.0,102000.0
Electrical Engineering,60900.0,103000.0,69300.0,83800.0,130000.0,168000.0
English,38000.0,64700.0,33400.0,44800.0,93200.0,133000.0
Film,37900.0,68500.0,33900.0,45500.0,100000.0,136000.0
Finance,47900.0,88300.0,47200.0,62100.0,128000.0,195000.0
Forestry,39100.0,62600.0,41000.0,49300.0,78200.0,111000.0
Geography,41200.0,65500.0,40000.0,50000.0,90800.0,132000.0
Geology,43500.0,79500.0,45000.0,59600.0,101000.0,156000.0
Graphic Design,35700.0,59800.0,36000.0,45500.0,80800.0,112000.0
Health Care Administration,38800.0,60600.0,34600.0,45600.0,78800.0,101000.0
History,39200.0,71000.0,37000.0,49200.0,103000.0,149000.0
Hospitality & Tourism,37800.0,57500.0,35500.0,43600.0,81900.0,124000.0
Industrial Engineering,57700.0,94700.0,57100.0,72300.0,132000.0,173000.0
Information Technology (IT),49100.0,74800.0,44500.0,56700.0,96700.0,129000.0
Interior Design,36100.0,53200.0,35700.0,42600.0,72500.0,107000.0
International Relations,40900.0,80900.0,38200.0,56000.0,111000.0,157000.0
Journalism,35600.0,66700.0,38400.0,48300.0,97700.0,145000.0
Management Information Systems (MIS),49200.0,82300.0,45300.0,60500.0,108000.0,146000.0
Marketing,40800.0,79600.0,42100.0,55600.0,119000.0,175000.0
Math,45400.0,92400.0,45200.0,64200.0,128000.0,183000.0
Mechanical Engineering,57900.0,93600.0,63700.0,76200.0,120000.0,163000.0
Music,35900.0,55000.0,26700.0,40200.0,88000.0,134000.0
Nursing,54200.0,67000.0,47600.0,56400.0,80900.0,98300.0
Nutrition,39900.0,55300.0,33900.0,44500.0,70500.0,99200.0
Philosophy,39900.0,81200.0,35500.0,52800.0,127000.0,168000.0
Physician Assistant,74300.0,91700.0,66400.0,75200.0,108000.0,124000.0
Physics,50300.0,97300.0,56000.0,74200.0,132000.0,178000.0
Political Science,40800.0,78200.0,41200.0,55300.0,114000.0,168000.0
Psychology,35900.0,60400.0,31600.0,42100.0,87500.0,127000.0
Religion,34100.0,52000.0,29700.0,36500.0,70900.0,96400.0
Sociology,36500.0,58200.0,30700.0,40400.0,81200.0,118000.0
Spanish,34000.0,53100.0,31000.0,40000.0,76800.0,96400.0